               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.012883,           0.0089727,            0.016434,             0.82949,             0.92335,             0.95949,             0.84206,           0.0046687,           0.0024858,           0.0036168,            0.005446,            0.005446,            0.005446
                 140,            0.010443,           0.0085033,           0.0090023,             0.80666,             0.74117,             0.86386,             0.77254,           0.0046853,           0.0024163,           0.0073414,            0.005413,            0.005413,            0.005413
                 141,            0.013433,           0.0090082,            0.011212,              0.8538,             0.89403,             0.94844,             0.87213,           0.0043384,           0.0022424,           0.0031996,             0.00538,             0.00538,             0.00538
                 142,            0.012878,           0.0088655,            0.010876,             0.90582,             0.94484,              0.9808,              0.8828,           0.0045712,           0.0023493,           0.0023093,            0.005347,            0.005347,            0.005347
                 143,            0.013026,           0.0087327,           0.0090943,             0.92999,             0.94377,             0.98343,             0.88988,           0.0046255,            0.002472,           0.0020576,            0.005314,            0.005314,            0.005314
                 144,            0.012911,            0.008724,            0.010878,             0.89852,             0.94997,             0.96875,             0.81404,           0.0047256,           0.0023472,           0.0021195,            0.005281,            0.005281,            0.005281
                 145,            0.015885,           0.0086706,            0.011736,             0.88741,             0.92616,             0.97079,             0.86317,           0.0044985,           0.0021393,           0.0029211,            0.005248,            0.005248,            0.005248
                 146,             0.01217,             0.00877,            0.011887,             0.85915,              0.8387,             0.93899,             0.85371,           0.0048879,           0.0021869,           0.0070629,            0.005215,            0.005215,            0.005215
                 147,            0.014546,           0.0086849,            0.011298,             0.89187,              0.8864,             0.96091,             0.84995,           0.0046904,            0.002463,           0.0047188,            0.005182,            0.005182,            0.005182
                 148,            0.014043,           0.0088853,            0.013579,              0.8901,             0.91166,             0.96705,             0.86093,           0.0045917,           0.0022937,           0.0028753,            0.005149,            0.005149,            0.005149
                 149,            0.010209,            0.008977,           0.0083595,             0.82826,             0.93746,              0.9659,             0.84016,           0.0045534,            0.002467,           0.0033998,            0.005116,            0.005116,            0.005116
                 150,            0.013226,            0.009081,            0.011095,             0.83141,              0.9353,             0.94243,             0.86088,           0.0042865,           0.0025791,           0.0032864,            0.005083,            0.005083,            0.005083
                 151,            0.015087,           0.0092762,            0.011422,             0.86757,             0.92658,             0.96782,             0.88702,           0.0042294,           0.0023644,            0.002882,             0.00505,             0.00505,             0.00505
                 152,            0.010333,           0.0085407,           0.0081727,             0.86503,             0.93006,             0.96746,             0.88516,           0.0044887,           0.0023335,           0.0027208,            0.005017,            0.005017,            0.005017
                 153,            0.014742,            0.008379,            0.013574,             0.90316,             0.89951,             0.96495,             0.86573,           0.0049121,           0.0025454,           0.0024185,            0.004984,            0.004984,            0.004984
